Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/inference,20,0,29000,22728.47529595001,2884.351180999829,29999.373173000095,1191.7,0.3424043933912105,0.0,29000,29000,30000,30000,30000,30000,30000,30000,30000,30000,30000
,Aggregated,20,0,29000,22728.47529595001,2884.351180999829,29999.373173000095,1191.7,0.3424043933912105,0.0,29000,29000,30000,30000,30000,30000,30000,30000,30000,30000,30000
