timestamp,completed,e2e_pipeline_ms,stage1_ms,stage2_ms,stage3_ms,stage4_ms
1775309862.603083,True,2580.85,0.0,54.203,2526.636,0.001
1775309862.6673431,True,2642.477,0.0,54.422,2588.026,0.001
1775309862.6786242,True,2653.782,0.0,54.739,2599.034,0.001
1775309862.6809418,True,2657.064,0.0,54.063,2602.988,0.001
1775309862.7153976,True,2692.591,0.0,54.165,2638.416,0.002
1775309862.7712743,True,2746.276,0.0,55.074,2691.193,0.001
1775309862.7719002,True,2750.36,0.0,53.792,2696.547,0.001
1775309862.8063948,True,2785.432,0.001,52.381,2733.02,0.001
1775309862.9715357,True,2947.154,0.0,54.357,2892.786,0.001
1775309863.0895479,True,3066.674,0.0,53.875,3012.775,0.001
1775309865.1877084,True,2582.748,0.0,50.638,2532.09,0.002
1775309865.2425897,True,2573.557,0.0,50.48,2523.062,0.001
1775309865.290856,True,2608.137,0.0,51.126,2556.997,0.002
1775309865.3901896,True,2582.202,0.0,50.586,2531.597,0.001
1775309865.4969115,True,2723.168,0.0,51.454,2671.702,0.001
1775309865.5187786,True,2801.68,0.0,51.017,2750.644,0.001
1775309865.5270643,True,2753.921,0.0,51.091,2702.79,0.021
1775309865.5934258,True,2620.276,0.0,50.212,2570.032,0.015
1775309865.694347,True,3014.102,0.0,51.234,2962.848,0.001
1775309865.7276318,True,2635.906,0.001,50.346,2585.537,0.002
1775309868.2416537,True,2527.016,0.0,50.21,2476.785,0.001
1775309868.4466205,True,2676.93,0.0,50.649,2626.269,0.001
1775309868.5495095,True,2631.779,0.0,50.359,2581.398,0.002
1775309868.5584397,True,2740.452,0.0,50.392,2690.038,0.001
1775309868.5700777,True,2545.773,0.001,50.95,2494.804,0.001
1775309868.58757,True,2533.454,0.0,51.106,2482.328,0.001
1775309868.7528956,True,2632.422,0.0,50.223,2582.18,0.001
1775309868.855983,True,2810.03,0.0,50.922,2759.086,0.002
1775309868.8890488,True,2634.484,0.0,51.581,2582.884,0.001
1775309868.9599507,True,2738.621,0.0,50.472,2688.132,0.001
1775309870.993108,True,2749.844,0.0,50.227,2699.596,0.002
1775309871.3509734,True,2779.144,0.0,50.317,2728.807,0.002
1775309871.3600378,True,2911.761,0.0,50.333,2861.408,0.001
1775309871.402789,True,2545.246,0.0,50.659,2494.568,0.001
1775309871.4280121,True,2838.746,0.0,51.026,2787.702,0.001
1775309871.446629,True,2895.414,0.0,50.481,2844.909,0.001
1775309871.6056027,True,2644.155,0.0,50.47,2593.667,0.001
1775309871.8206377,True,3260.47,0.0,50.625,3209.824,0.001
1775309871.9660554,True,3211.51,0.001,50.82,3160.671,0.001
1775309872.967588,True,4077.078,0.0,50.975,4026.084,0.002
1775309873.765874,True,2771.108,0.0,50.67,2720.418,0.002
1775309874.1709807,True,2563.472,0.0,50.833,2512.62,0.001
1775309874.1714664,True,2723.286,0.001,52.131,2671.137,0.0
1775309874.2342038,True,2881.598,0.0,50.559,2831.028,0.001
1775309874.3393013,True,2977.715,0.001,51.391,2926.298,0.008
1775309874.4468493,True,2624.536,0.0,50.265,2574.251,0.001
1775309874.4474666,True,3018.102,0.0,50.536,2967.549,0.001
1775309874.5719836,True,2604.382,0.0,50.286,2554.077,0.002
1775309876.4542065,True,2686.614,0.001,50.217,2636.377,0.001
1775309876.952134,True,2611.127,0.001,50.217,2560.891,0.001
1775309876.952637,True,2780.019,0.0,50.759,2729.245,0.001
1775309876.9531484,True,2717.795,0.0,50.24,2667.54,0.0
1775309877.0500178,True,2876.776,0.0,50.978,2825.787,0.001
1775309877.0690448,True,2619.679,0.0,51.069,2568.598,0.001
1775309877.2913148,True,2842.46,0.0,50.761,2791.679,0.001
1775309877.3685215,True,4399.394,0.001,50.292,4349.083,0.001
1775309877.6051993,True,6200.769,0.0,51.093,6149.657,0.001
1775309877.7077756,True,3134.115,0.001,50.216,3083.878,0.001
1775309879.0694509,True,2613.299,0.0,50.331,2562.948,0.002
1775309879.709065,True,2638.586,0.001,50.543,2588.024,0.001
1775309879.775969,True,2821.958,0.0,50.791,2771.15,0.001
1775309879.7999878,True,2748.256,0.0,50.999,2697.238,0.001
1775309879.8004508,True,2846.447,0.0,51.297,2795.143,0.001
1775309879.9960496,True,2703.08,0.0,50.732,2652.33,0.001
1775309880.173579,True,2803.327,0.0,50.371,2752.936,0.002
