timestamp,completed,e2e_pipeline_ms,stage1_ms,stage2_ms,stage3_ms,stage4_ms
1775318874.1543996,True,3627.308,0.0,475.209,3152.092,0.001
1775318874.1546035,True,3627.132,0.0,460.799,3166.326,0.001
1775318874.1547656,True,3626.892,0.0,446.276,3180.608,0.001
1775318874.1549072,True,3626.62,0.0,431.582,3195.028,0.001
1775318874.1550438,True,3626.367,0.0,416.971,3209.375,0.001
1775318874.1572082,True,3631.817,0.0,531.481,3100.328,0.001
1775318874.1573868,True,3631.708,0.0,517.862,3113.839,0.001
1775318874.1575735,True,3631.518,0.0,504.855,3126.655,0.001
1775318874.1578343,True,3631.273,0.0,489.641,3141.624,0.001
1775318874.1592207,True,3633.226,0.0,644.988,2988.232,0.001
1775318874.159383,True,3633.08,0.0,631.793,3001.28,0.001
1775318874.159548,True,3632.903,0.0,618.616,3014.281,0.001
1775318874.1596918,True,3632.711,0.0,604.542,3028.162,0.001
1775318874.1601703,True,3632.551,0.0,588.769,3043.775,0.001
1775318874.1603553,True,3632.371,0.0,572.763,3059.602,0.001
1775318874.1605248,True,3632.182,0.0,558.808,3073.367,0.001
1775318874.1607122,True,3632.013,0.0,544.444,3087.562,0.001
1775318877.8117177,True,3651.998,0.0,51.37,3600.615,0.002
1775318877.8121674,True,3652.562,0.0,77.559,3574.996,0.001
1775318877.8123276,True,3652.387,0.0,64.364,3588.015,0.001
1775318877.8168488,True,3656.986,0.0,91.136,3565.842,0.001
1775318877.817413,True,3657.232,0.0,104.324,3552.899,0.001
1775318877.81781,True,3658.034,0.0,118.202,3539.825,0.001
1775318877.8217773,True,3661.934,0.0,132.906,3529.016,0.001
1775318877.8221927,True,3662.386,0.0,159.2,3503.179,0.001
1775318877.822362,True,3662.188,0.0,145.949,3516.229,0.001
1775318877.8230376,True,3633.533,0.0,170.982,3462.542,0.001
1775318877.8232024,True,3633.432,0.0,157.492,3475.929,0.001
1775318877.823391,True,3633.56,0.001,144.571,3488.974,0.001
1775318877.8243053,True,3634.526,0.0,240.995,3393.522,0.001
1775318877.8244762,True,3634.357,0.0,226.248,3408.098,0.001
1775318877.8246517,True,3634.172,0.0,211.673,3422.491,0.001
1775318877.8248048,True,3633.985,0.0,197.922,3436.054,0.001
1775318877.8249464,True,3633.734,0.0,184.223,3449.501,0.001
1775318877.8262777,True,3636.133,0.0,308.956,3327.17,0.001
1775318877.8264513,True,3635.977,0.0,294.507,3341.464,0.001
1775318877.8266063,True,3631.694,0.0,708.601,2923.086,0.001
1775318877.8267612,True,3631.554,0.0,694.188,2937.359,0.001
1775318877.8269045,True,3631.381,0.0,680.227,2951.144,0.001
1775318877.8270476,True,3635.103,0.0,280.231,3354.866,0.001
1775318877.827212,True,3634.916,0.0,266.95,3367.959,0.001
1775318877.8273773,True,3634.687,0.0,253.818,3380.863,0.001
1775318877.8295937,True,3635.978,0.0,478.349,3157.621,0.001
1775318877.8297658,True,3635.852,0.0,464.066,3171.776,0.001
1775318877.829922,True,3635.758,0.0,450.901,3184.846,0.0
1775318877.8300807,True,3636.809,0.0,437.588,3199.201,0.001
1775318877.8302298,True,3636.667,0.0,422.938,3213.722,0.001
1775318877.8303697,True,3636.507,0.0,408.341,3228.157,0.001
1775318877.8305075,True,3636.34,0.0,393.758,3242.574,0.001
