Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/pipeline,20,0,13000,12355.711687149958,3169.383729000401,14621.083343999999,1582.9,0.35530895027457976,0.0,13000,14000,14000,14000,15000,15000,15000,15000,15000,15000,15000
,Aggregated,20,0,13000,12355.711687149958,3169.383729000401,14621.083343999999,1582.9,0.35530895027457976,0.0,13000,14000,14000,14000,15000,15000,15000,15000,15000,15000,15000
