timestamp,ttft_ms,tpot_ms,total_time_ms,token_count,success
1775241469.4591649,293.884,183.783,2499.949,13,True
1775241471.8827398,2709.18,183.71,4913.756,13,True
1775241474.3066118,5130.341,183.861,7336.786,13,True
1775241476.7306864,7553.089,183.896,9760.293,13,True
1775241479.1554785,9978.02,183.875,12184.575,13,True
1775241482.43845,12411.169,183.199,14609.661,13,True
1775241484.8607926,14824.652,183.863,17031.065,13,True
1775241487.2802398,17245.352,183.669,19449.487,13,True
1775241489.7098508,19664.214,184.477,21878.552,13,True
1775241492.1280947,22074.273,184.202,24284.753,13,True
1775241494.5456898,24497.135,183.716,26701.791,13,True
1775241496.9745383,26903.909,184.42,29117.009,13,True
1775241499.3897045,29325.089,183.871,31531.75,13,True
1775241501.8130627,31747.735,183.911,33954.732,13,True
1775241504.2334373,34168.329,183.859,36374.711,13,True
1775241506.653857,36588.988,183.805,38794.762,13,True
1775241509.078698,39016.355,183.54,41218.92,13,True
1775241511.5012782,41433.072,183.991,43641.036,13,True
1775241513.9212022,43854.879,183.783,46060.518,13,True
1775241516.3433573,46275.223,183.868,48481.896,13,True
1775241518.7772806,48697.314,184.828,50915.32,13,True
1775241521.1998956,51119.463,184.834,53337.544,13,True
1775241523.6229434,53525.52,184.863,55743.942,13,True
1775241526.0334969,55948.358,183.806,58154.137,13,True
