Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
SSE,/api/inference/stream,24,0,29000,30304.051654791994,2472.47957700165,58160.70694300288,13.0,0.4021076124336023,0.0,31000,39000,46000,48000,53000,56000,58000,58000,58000,58000,58000
,Aggregated,24,0,29000,30304.051654791994,2472.47957700165,58160.70694300288,13.0,0.4021076124336023,0.0,31000,39000,46000,48000,53000,56000,58000,58000,58000,58000,58000
