timestamp,elapsed_s,rss_mb,cpu_percent
1775327956.237,0.0,89.79,0.0
1775327957.238,1.0,89.79,0.0
1775327958.238,2.001,89.79,0.0
1775327959.238,3.001,88.68,46.0
1775327960.239,4.002,88.68,0.0
1775327961.24,5.002,88.68,0.0
1775327962.24,6.002,88.68,44.0
1775327963.24,7.003,88.68,0.0
1775327964.24,8.003,88.68,0.0
1775327965.241,9.003,88.68,13.0
1775327966.241,10.004,88.68,29.0
1775327967.242,11.004,88.68,0.0
1775327968.242,12.005,88.68,0.0
1775327969.242,13.005,88.68,42.0
1775327970.243,14.005,88.68,0.0
1775327971.243,15.006,88.68,0.0
1775327972.244,16.006,84.18,42.0
1775327973.244,17.006,84.18,0.0
1775327975.129,18.892,84.18,0.0
1775327976.131,19.893,84.18,26.0
1775327977.134,20.896,84.18,15.0
1775327978.134,21.897,84.18,0.0
1775327979.135,22.897,84.18,0.0
1775327980.135,23.898,84.18,42.0
1775327981.136,24.898,84.18,0.0
1775327982.136,25.899,84.18,0.0
1775327983.137,26.899,84.18,42.0
1775327984.137,27.899,84.18,0.0
1775327985.137,28.9,84.18,0.0
1775327986.138,29.9,84.18,41.0
1775327987.138,30.9,84.18,0.0
1775327988.138,31.901,84.18,0.0
1775327989.139,32.901,84.18,14.0
1775327990.139,33.902,84.18,28.0
1775327991.139,34.902,84.18,0.0
1775327992.14,35.903,84.18,0.0
1775327993.141,36.903,84.18,41.0
1775327994.141,37.903,84.18,0.0
1775327995.141,38.904,84.18,0.0
1775327996.142,39.904,84.18,41.0
1775327997.142,40.905,84.18,0.0
1775327998.142,41.905,84.18,0.0
1775327999.143,42.905,84.18,32.0
1775328000.143,43.906,84.18,9.0
1775328001.144,44.906,84.18,0.0
1775328002.144,45.906,84.18,4.0
1775328003.144,46.907,84.18,37.0
1775328004.145,47.907,84.18,0.0
1775328005.145,48.908,84.18,0.0
1775328006.146,49.908,84.18,41.0
1775328008.018,51.78,84.18,0.0
1775328009.019,52.781,84.18,0.0
1775328010.019,53.781,84.18,39.0
1775328011.019,54.782,84.18,0.0
1775328012.02,55.782,84.18,0.0
1775328013.02,56.783,84.18,21.0
1775328014.021,57.783,84.18,20.0
1775328015.021,58.784,84.18,0.0
1775328016.022,59.784,84.18,0.0
1775328017.022,60.784,84.18,41.0
1775328018.022,61.785,84.18,0.0
1775328019.022,62.785,84.18,0.0
1775328020.023,63.785,84.18,43.0
1775328021.023,64.786,84.18,0.0
