timestamp,elapsed_s,rss_mb,cpu_percent
1775328521.895,0.0,152.06,0.0
1775328522.896,1.0,152.06,0.0
1775328523.896,2.001,152.06,0.0
1775328524.896,3.001,152.06,67.0
1775328525.897,4.002,152.18,37.0
1775328526.897,5.002,152.18,0.0
1775328527.897,6.002,152.18,0.0
1775328528.898,7.002,152.18,78.0
1775328529.898,8.003,152.18,27.0
1775328530.898,9.003,152.18,0.0
1775328531.899,10.003,152.18,4.0
1775328532.899,11.004,160.18,90.0
1775328533.9,12.004,163.93,14.0
1775328534.9,13.005,163.93,5.0
1775328535.901,14.006,163.93,2.0
1775328537.645,15.75,163.93,95.9
1775328538.646,16.75,163.93,6.0
1775328539.646,17.751,163.93,2.0
1775328540.646,18.751,163.93,17.0
1775328541.647,19.751,163.93,88.0
1775328542.647,20.752,163.93,2.0
1775328543.648,21.752,163.93,2.0
1775328544.648,22.753,163.93,34.0
1775328545.648,23.753,163.93,72.0
1775328546.649,24.754,163.93,2.0
1775328547.649,25.754,163.93,4.0
1775328548.649,26.754,163.93,45.0
1775328549.65,27.754,163.93,68.0
1775328550.65,28.755,163.93,4.0
1775328551.651,29.755,163.93,0.0
1775328552.651,30.756,163.93,50.0
1775328553.652,31.756,163.93,52.0
1775328554.652,32.757,163.93,0.0
1775328555.652,33.757,163.93,12.0
1775328556.652,34.757,163.93,67.0
1775328557.653,35.758,163.93,24.0
1775328558.653,36.758,163.93,13.0
1775328559.654,37.758,163.93,4.0
1775328560.654,38.759,163.93,91.0
1775328561.654,39.759,163.93,17.0
1775328562.655,40.759,163.93,4.0
1775328563.655,41.76,163.93,11.0
1775328564.656,42.76,163.93,100.0
1775328565.656,43.761,163.93,6.0
1775328566.657,44.761,163.93,2.0
1775328567.657,45.762,163.93,29.0
1775328568.657,46.762,152.33,91.0
1775328569.658,47.763,152.33,2.0
1775328570.658,48.763,152.33,2.0
1775328571.659,49.764,152.33,43.0
1775328572.659,50.764,152.33,66.0
1775328573.659,51.764,152.33,3.0
1775328574.66,52.765,152.33,2.0
1775328575.66,53.765,152.33,69.0
1775328576.661,54.765,152.33,27.0
1775328577.661,55.766,152.33,3.0
1775328578.661,56.766,152.33,29.0
1775328579.662,57.767,152.33,82.0
1775328580.662,58.767,152.33,2.0
1775328581.663,59.767,152.33,7.0
1775328582.663,60.768,152.33,79.0
1775328583.663,61.768,152.33,27.0
1775328584.664,62.768,152.33,6.0
1775328585.664,63.769,152.33,1.0
