timestamp,elapsed_s,rss_mb,cpu_percent
1775294780.543,0.0,80.79,0.0
1775294781.544,1.0,80.79,0.0
1775294782.544,2.001,80.79,0.0
1775294783.548,3.005,80.79,1.0
1775294784.554,4.011,80.79,0.0
1775294785.557,5.014,80.79,2.0
1775294786.563,6.02,80.79,0.0
1775294787.564,7.021,80.79,0.0
1775294788.565,8.022,80.79,2.0
1775294789.566,9.023,80.79,0.0
1775294790.567,10.024,80.79,1.0
1775294791.569,11.026,80.79,0.0
1775294792.569,12.026,80.79,0.0
1775294793.57,13.027,80.79,2.0
1775294794.57,14.027,80.79,1.0
1775294795.571,15.028,80.79,1.0
1775294796.571,16.028,80.79,0.0
1775294797.571,17.028,80.79,2.0
1775294798.572,18.029,80.79,0.0
1775294799.572,19.029,80.79,0.0
1775294800.573,20.03,80.79,2.0
1775294801.573,21.03,80.79,0.0
1775294802.574,22.03,80.79,2.0
1775294803.574,23.031,80.79,0.0
1775294804.574,24.031,80.79,0.0
1775294805.575,25.032,80.79,1.0
1775294806.576,26.032,80.79,0.0
1775294807.576,27.033,80.79,2.0
1775294808.576,28.033,80.79,0.0
1775294809.577,29.034,80.79,1.0
1775294810.577,30.034,80.79,1.0
1775294811.578,31.034,80.79,0.0
1775294812.578,32.035,80.79,1.0
1775294813.578,33.035,80.79,0.0
1775294814.579,34.036,80.79,2.0
1775294815.584,35.041,80.79,0.0
1775294816.584,36.041,80.79,0.0
1775294817.585,37.042,80.79,2.0
1775294818.592,38.049,80.79,0.0
1775294819.594,39.05,80.79,2.0
1775294820.595,40.052,80.79,0.0
1775294821.595,41.052,80.79,0.0
1775294822.596,42.053,80.79,3.0
1775294823.596,43.053,80.79,0.0
1775294824.597,44.054,80.79,2.0
1775294825.597,45.054,80.79,0.0
1775294826.598,46.054,80.79,2.0
1775294827.598,47.055,80.79,0.0
1775294828.598,48.055,80.79,0.0
1775294829.599,49.056,80.79,1.0
1775294830.599,50.056,80.79,0.0
1775294831.6,51.057,80.79,2.0
1775294832.601,52.057,80.79,0.0
1775294833.601,53.058,80.79,0.0
1775294834.601,54.058,80.79,2.0
1775294835.602,55.059,80.79,0.0
1775294836.602,56.059,80.79,2.0
1775294837.603,57.06,80.79,0.0
1775294838.603,58.06,80.79,0.0
1775294839.604,59.061,80.79,2.0
1775294840.604,60.061,80.79,0.0
1775294841.604,61.061,80.79,1.0
1775294842.605,62.062,80.79,0.0
1775294843.605,63.062,80.79,6.0
