Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
SSE,/api/inference/stream,24,0,29000,30313.29630316666,2441.1777169999596,58192.9667259999,13.0,0.4122737114403851,0.0,32000,39000,46000,48000,53000,56000,58000,58000,58000,58000,58000
,Aggregated,24,0,29000,30313.29630316666,2441.1777169999596,58192.9667259999,13.0,0.4122737114403851,0.0,32000,39000,46000,48000,53000,56000,58000,58000,58000,58000,58000
