timestamp,ttft_ms,tpot_ms,total_time_ms,token_count,success
1775295514.5307784,259.315,183.752,2464.875,13,True
1775295516.9635656,2674.972,184.748,4892.022,13,True
1775295519.3739724,5096.178,183.778,7301.637,13,True
1775295521.7959182,7517.537,183.761,9723.027,13,True
1775295524.2184138,9939.621,183.772,12144.993,13,True
1775295526.6466124,12361.256,184.277,14572.674,13,True
1775295529.085163,14788.268,185.185,17010.576,13,True
1775295531.5154612,17225.175,184.532,19440.138,13,True
1775295533.9425697,19657.413,184.094,21866.717,13,True
1775295536.3667164,22082.846,183.945,24290.367,13,True
1775295538.7884216,24510.196,183.441,26711.58,13,True
1775295541.2131622,26905.057,183.972,29112.819,13,True
1775295543.63585,29329.116,183.815,31535.194,13,True
1775295546.0577323,31751.248,183.751,33956.692,13,True
1775295548.4795291,34173.019,183.754,36378.127,13,True
1775295550.9010868,36593.957,183.769,38799.248,13,True
1775295553.3258002,39014.612,184.032,41223.058,13,True
1775295555.7460594,41436.931,183.821,43642.893,13,True
1775295558.1828291,43858.155,185.087,46079.264,13,True
1775295560.6135795,46294.543,184.579,48509.59,13,True
1775295563.0342147,48745.672,184.169,50955.806,13,True
1775295565.4605725,51171.922,184.131,53381.553,13,True
1775295567.8814425,53595.258,183.869,55801.929,13,True
1775295570.3031843,56017.758,183.789,58223.274,13,True
