timestamp,completed,e2e_pipeline_ms,stage1_ms,stage2_ms,stage3_ms,stage4_ms
1775325433.1820862,True,4756.179,0.001,50.238,4705.916,0.001
1775325435.8531744,True,2668.172,0.0,50.277,2617.874,0.001
1775325438.8333008,True,2978.565,0.0,50.187,2928.36,0.001
1775325441.408086,True,2573.298,0.001,50.295,2522.985,0.001
1775325444.298306,True,2888.495,0.001,50.215,2838.26,0.001
1775325447.626719,True,3326.957,0.0,50.273,3276.665,0.001
1775325450.7540128,True,3125.328,0.0,50.233,3075.064,0.002
1775325453.5946076,True,2838.615,0.001,50.315,2788.275,0.001
1775325457.081459,True,2658.467,0.001,50.381,2608.056,0.001
1775325459.9521167,True,2868.939,0.0,50.581,2818.339,0.002
1775325462.6893919,True,2735.346,0.001,50.564,2684.759,0.002
1775325465.4400084,True,2749.074,0.001,50.317,2698.736,0.001
1775325467.939463,True,2497.987,0.001,50.19,2447.78,0.001
1775325470.485024,True,2543.813,0.028,50.39,2493.376,0.001
1775325473.3119473,True,2825.12,0.0,50.304,2774.798,0.002
1775325475.9644055,True,2651.043,0.0,50.301,2600.722,0.001
1775325479.284893,True,3318.897,0.001,50.226,3268.653,0.001
1775325482.046728,True,2760.268,0.001,50.243,2710.005,0.002
1775325484.6411319,True,2592.89,0.0,50.191,2542.675,0.002
1775325487.4005568,True,2757.93,0.001,50.269,2707.642,0.001
