timestamp,ttft_ms,tpot_ms,total_time_ms,token_count,success
1775333554.1213176,2489.965,9.161,2601.238,13,True
1775333554.122218,2485.995,9.207,2598.625,13,True
1775333554.1223342,2484.453,9.266,2597.853,13,True
1775333556.4305587,2552.14,181.266,4727.643,13,True
1775333556.46889,2553.521,183.045,4767.069,13,True
1775333556.4761147,2556.719,183.102,4777.172,13,True
1775333556.476946,2513.42,182.859,4729.101,13,True
1775333556.4772413,2513.808,182.868,4730.119,13,True
1775333556.4773695,2514.603,182.847,4730.882,13,True
1775333556.4774513,2514.586,182.881,4731.58,13,True
1775333556.4775248,2515.404,182.852,4732.216,13,True
1775333556.4776123,2515.076,182.917,4732.955,13,True
1775333556.4776962,2550.742,182.881,4768.528,13,True
1775333556.4777644,2551.629,182.846,4769.138,13,True
1775333556.477828,2551.348,182.892,4769.705,13,True
1775333556.477891,2552.698,182.987,4772.322,13,True
1775333556.4779713,2554.236,182.987,4774.163,13,True
1775333556.4780495,2554.281,183.016,4774.725,13,True
1775333556.4781158,2551.151,183.027,4772.015,13,True
1775333556.47818,2554.559,183.048,4775.823,13,True
1775333556.4782448,2550.06,183.053,4771.676,13,True
1775333556.4783094,2555.124,183.074,4777.144,13,True
1775333556.4783685,2548.881,183.082,4771.307,13,True
1775333556.490096,2520.441,181.907,4724.769,13,True
1775333556.4902828,2520.638,181.909,4725.378,13,True
1775333556.49039,2520.681,181.928,4725.942,13,True
1775333556.4906898,2520.949,181.929,4726.7,13,True
1775333556.4908028,2521.105,181.946,4727.36,13,True
1775333556.4908717,2521.372,181.947,4727.896,13,True
1775333556.4909313,2521.667,181.948,4728.45,13,True
1775333556.4909847,2521.692,181.965,4728.929,13,True
1775333556.4910383,2521.988,181.966,4729.48,13,True
1775333556.4910915,2522.121,181.987,4730.081,13,True
1775333556.4911466,2522.068,182.023,4730.593,13,True
1775333556.4911997,2521.451,182.091,4731.127,13,True
1775333556.491253,2521.927,182.105,4731.901,13,True
1775333556.4913073,2523.789,182.12,4734.216,13,True
1775333556.4913607,2525.347,182.128,4736.002,13,True
1775333556.4914153,2525.685,182.126,4736.597,13,True
1775333556.4914677,2525.901,182.149,4737.233,13,True
1775333556.491521,2526.176,182.148,4737.784,13,True
1775333556.4915745,2526.553,182.153,4738.416,13,True
1775333556.4916294,2527.392,182.167,4739.74,13,True
1775333556.4916844,2537.361,182.159,4749.969,13,True
1775333556.491737,2537.308,182.201,4750.419,13,True
1775333556.4917874,2537.689,182.176,4751.022,13,True
1775333556.4918394,2537.896,182.176,4751.482,13,True
1775333556.49189,2537.49,182.212,4751.912,13,True
1775333556.4919398,2537.436,182.196,4752.335,13,True
1775333556.4920185,2537.632,182.207,4752.806,13,True
1775333556.492082,2537.735,182.233,4753.507,13,True
1775333556.4921389,2537.968,182.244,4754.001,13,True
1775333556.4921935,2538.002,182.258,4754.482,13,True
1775333556.4922664,2538.222,182.265,4754.955,13,True
1775333556.4923384,2538.433,182.262,4755.47,13,True
1775333556.492402,2538.584,182.288,4756.078,13,True
1775333556.4924605,2539.532,182.287,4757.294,13,True
1775333556.4925125,2539.69,182.315,4757.912,13,True
1775333556.4925654,2539.944,182.309,4758.393,13,True
1775333556.4926188,2540.115,182.319,4758.827,13,True
1775333556.4926717,2540.139,182.332,4759.292,13,True
1775333556.4927216,2540.456,182.32,4759.864,13,True
1775333556.4927719,2540.527,182.339,4760.388,13,True
1775333556.4928212,2540.86,182.351,4760.977,13,True
1775333556.4928734,2540.877,182.365,4761.462,13,True
1775333556.4929247,2541.248,182.372,4762.08,13,True
1775333556.4929771,2541.583,182.371,4762.675,13,True
1775333556.493028,2541.509,182.408,4763.15,13,True
1775333556.4931695,2541.475,182.422,4763.66,13,True
1775333556.4932353,2541.802,182.433,4764.248,13,True
1775333556.4932928,2541.982,182.437,4764.748,13,True
1775333556.4933472,2542.681,182.463,4765.887,13,True
1775333556.4933994,2542.953,182.461,4766.42,13,True
1775333556.4934506,2542.993,182.491,4766.941,13,True
1775333556.4935057,2543.319,182.488,4767.521,13,True
1775333556.493558,2543.473,182.499,4767.933,13,True
1775333556.4936078,2543.449,182.517,4768.384,13,True
1775333556.4936562,2543.753,182.514,4768.9,13,True
1775333556.4937065,2544.022,182.513,4769.398,13,True
1775333556.493758,2544.237,182.525,4769.876,13,True
1775333556.49381,2544.071,182.552,4770.289,13,True
1775333556.493918,2544.268,182.565,4770.802,13,True
1775333556.493984,2544.223,182.587,4771.371,13,True
1775333556.4940388,2544.58,182.602,4772.045,13,True
1775333556.4940913,2544.533,182.626,4772.571,13,True
1775333556.4941425,2544.464,182.649,4772.979,13,True
1775333556.4941945,2545.379,182.651,4774.136,13,True
1775333556.4942734,2545.554,182.654,4774.609,13,True
1775333556.494349,2545.656,182.681,4775.248,13,True
1775333556.4944108,2553.59,182.678,4783.442,13,True
1775333556.494467,2553.958,182.684,4784.088,13,True
1775333556.4945219,2553.957,182.718,4784.64,13,True
1775333556.4945774,2512.241,182.717,4743.2,13,True
1775333556.4947445,2512.331,182.749,4743.903,13,True
1775333556.4948835,2513.085,182.749,4745.032,13,True
1775333556.4949675,2513.294,182.786,4745.842,13,True
1775333556.4950328,2513.408,182.807,4746.492,13,True
1775333558.3345551,370.118,319.702,4215.24,13,True
1775333558.3353925,370.011,319.651,4214.476,13,True
1775333558.3356311,367.985,319.677,4213.121,13,True
1775333558.3357553,367.239,319.674,4212.709,13,True
1775333558.3358612,366.428,319.699,4212.433,13,True
1775333558.3366065,369.198,319.694,4215.506,13,True
1775333558.9184248,1865.078,48.623,2449.388,13,True
1775333558.9185896,1902.827,48.651,2487.876,13,True
1775333560.7630715,2062.352,184.659,4279.013,13,True
1775333560.7632012,2059.456,184.798,4278.264,13,True
1775333560.7643008,2063.442,184.665,4281.082,13,True
1775333560.7646582,2065.341,184.69,4283.008,13,True
1775333560.765561,2073.845,184.274,4285.151,13,True
1775333560.7658806,2073.017,184.323,4284.911,13,True
1775333560.90247,2197.976,185.385,4422.969,13,True
1775333560.9049337,2198.644,185.476,4425.893,13,True
1775333560.9056365,2190.943,185.316,4416.936,13,True
1775333560.9057288,2191.525,185.329,4417.792,13,True
1775333560.9057944,2192.526,185.342,4419.207,13,True
1775333560.9058526,2192.868,185.361,4419.795,13,True
1775333560.905908,2193.119,185.401,4420.553,13,True
1775333560.9060037,2193.847,185.415,4421.517,13,True
