timestamp,ttft_ms,tpot_ms,total_time_ms,token_count,success
1775332965.3486722,2259.145,184.119,4469.072,13,True
1775332965.3492901,2258.37,184.158,4469.133,13,True
1775332965.3494105,2257.646,184.256,4468.734,13,True
1775332965.4280367,2268.901,186.186,4543.81,13,True
1775332965.4288986,2285.1,186.278,4559.82,13,True
1775332965.4291992,2285.64,186.252,4560.523,13,True
1775332965.4293025,2286.214,186.236,4561.081,13,True
1775332965.4293702,2286.731,186.211,4561.545,13,True
1775332965.4294293,2287.322,186.194,4562.049,13,True
1775332965.4294887,2288.003,186.167,4562.645,13,True
1775332965.4295483,2285.219,186.441,4563.267,13,True
1775332965.429612,2285.823,186.409,4563.759,13,True
1775332965.4296734,2246.216,186.392,4524.062,13,True
1775332965.4297352,2246.865,186.366,4524.648,13,True
1775332965.4297922,2247.551,186.351,4525.266,13,True
1775332965.429848,2248.131,186.326,4525.783,13,True
1775332965.4299033,2248.749,186.312,4526.344,13,True
1775332965.4299576,2271.243,186.287,4548.781,13,True
1775332965.4300132,2270.616,186.272,4548.084,13,True
1775332965.430066,2269.817,186.245,4547.217,13,True
1775332965.4301198,2269.449,186.232,4546.788,13,True
1775332965.4301724,2269.188,186.204,4546.416,13,True
1775332965.441296,2263.462,185.756,4535.137,13,True
1775332965.4419634,2266.335,185.781,4539.161,13,True
1775332965.4423513,2266.638,185.78,4540.004,13,True
1775332965.4424984,2266.886,185.782,4540.593,13,True
1775332965.4425805,2266.819,185.804,4541.047,13,True
1775332965.4426913,2267.071,185.806,4541.594,13,True
1775332965.4427676,2267.253,185.809,4542.047,13,True
1775332965.4428306,2267.275,185.827,4542.514,13,True
1775332965.4428887,2267.483,185.833,4543.02,13,True
1775332965.442946,2267.458,185.861,4543.547,13,True
1775332965.4429991,2267.465,185.882,4544.013,13,True
1775332965.4430547,2267.785,185.882,4544.539,13,True
1775332965.4431393,2268.055,185.884,4545.068,13,True
1775332965.4432461,2268.19,185.901,4545.655,13,True
1775332965.443348,2268.565,185.901,4546.3,13,True
1775332965.4434133,2268.91,185.903,4546.903,13,True
1775332965.4435055,2269.002,185.921,4547.45,13,True
1775332965.443571,2269.456,185.92,4548.127,13,True
1775332965.443629,2269.705,185.923,4548.614,13,True
1775332965.4436874,2269.734,185.944,4549.115,13,True
1775332965.4437418,2269.8,185.961,4549.576,13,True
1775332965.4437969,2270.128,185.962,4550.137,13,True
1775332965.4438534,2270.2,185.979,4550.63,13,True
1775332965.4439638,2270.441,185.978,4551.123,13,True
1775332965.4440598,2270.677,185.981,4551.634,13,True
1775332965.4441423,2270.758,186.004,4552.193,13,True
1775332965.444248,2270.984,186.002,4552.697,13,True
1775332965.444319,2271.19,186.007,4553.188,13,True
1775332965.4443812,2271.452,186.009,4553.687,13,True
1775332965.4444382,2271.547,186.025,4554.193,13,True
1775332965.444494,2271.823,186.025,4554.667,13,True
1775332965.4445486,2272.082,186.027,4555.152,13,True
1775332965.4446027,2272.16,186.047,4555.68,13,True
1775332965.4446948,2272.455,186.05,4556.246,13,True
1775332965.4447846,2272.599,186.094,4557.109,13,True
1775332965.4448502,2272.895,186.09,4557.619,13,True
1775332965.44491,2273.132,186.094,4558.093,13,True
1775332965.4449992,2273.166,186.119,4558.649,13,True
1775332965.4450622,2273.402,186.124,4559.138,13,True
1775332965.4451234,2273.332,186.157,4559.664,13,True
1775332965.44518,2273.422,186.17,4560.102,13,True
1775332965.4452379,2273.581,186.182,4560.589,13,True
1775332965.4452958,2279.153,186.194,4566.481,13,True
1775332965.4453514,2279.314,186.204,4566.967,13,True
1775332965.4454436,2279.533,186.212,4567.493,13,True
1775332965.445533,2279.787,186.223,4568.058,13,True
