timestamp,elapsed_s,rss_mb,cpu_percent
1775324668.937,0.0,60.5,0.0
1775324669.937,1.0,60.5,0.0
1775324670.938,2.001,60.5,0.0
1775324671.938,3.001,60.5,5.0
1775324672.938,4.001,60.63,3.0
1775324673.939,5.002,60.63,3.0
1775324675.943,7.006,60.75,4.0
1775324676.943,8.006,60.75,3.0
1775324677.944,9.007,60.75,5.0
1775324678.944,10.007,60.75,4.0
1775324679.944,11.007,60.75,2.0
1775324680.945,12.008,60.75,4.0
1775324681.946,13.009,60.88,4.0
1775324682.946,14.009,60.88,4.0
1775324683.947,15.01,60.88,4.0
1775324684.947,16.01,60.88,3.0
1775324685.947,17.01,60.88,5.0
1775324686.948,18.011,60.88,4.0
1775324687.948,19.011,60.88,4.0
1775324688.949,20.012,60.88,4.0
1775324689.949,21.012,60.88,4.0
1775324690.949,22.013,60.88,3.0
1775324691.95,23.013,60.88,4.0
1775324692.95,24.013,60.88,3.0
1775324693.951,25.014,60.88,5.0
1775324694.951,26.014,60.88,3.0
1775324695.951,27.014,60.88,3.0
1775324696.952,28.015,60.88,4.0
1775324697.952,29.015,60.88,3.0
1775324698.953,30.016,60.88,3.0
1775324699.953,31.016,60.88,4.0
1775324700.953,32.016,60.88,2.0
1775324701.954,33.017,60.88,6.0
1775324702.954,34.017,60.88,3.0
1775324703.954,35.017,60.88,3.0
1775324704.954,36.017,60.88,6.0
1775324705.955,37.018,60.88,2.0
1775324706.955,38.018,60.88,3.0
1775324708.869,39.932,61.0,4.0
1775324709.869,40.932,61.0,3.0
1775324710.869,41.932,61.13,4.0
1775324711.87,42.933,61.13,3.0
1775324712.87,43.933,61.25,4.0
1775324713.87,44.933,61.25,4.0
1775324714.871,45.934,61.38,3.0
1775324715.871,46.934,61.38,3.0
1775324716.873,47.936,61.5,4.0
1775324717.873,48.936,61.5,3.0
1775324718.873,49.936,61.5,3.0
1775324719.874,50.937,61.63,4.0
1775324720.875,51.938,61.63,3.0
1775324721.875,52.938,61.63,5.0
1775324722.875,53.938,61.63,3.0
1775324723.876,54.939,61.63,3.0
1775324724.876,55.939,61.63,5.0
1775324725.876,56.939,61.63,3.0
1775324726.877,57.94,61.63,3.0
1775324727.877,58.94,61.63,4.0
1775324728.877,59.94,61.63,3.0
1775324729.878,60.941,61.63,4.0
1775324730.878,61.941,61.63,3.0
1775324731.878,62.942,61.63,6.0
1775324732.879,63.942,61.63,3.0
1775324733.879,64.942,61.63,3.0
