timestamp,ttft_ms,tpot_ms,total_time_ms,token_count,success
1775307998.9771342,468.683,211.782,2618.089,11,True
1775307999.1527708,532.99,205.432,2795.438,12,True
1775307999.2560596,659.739,203.393,2899.441,12,True
1775307999.256203,647.277,199.844,2908.531,12,True
1775307999.2608478,670.732,202.284,2900.432,12,True
1775307999.3743694,577.534,201.535,3014.894,13,True
1775307999.3750632,652.39,212.905,3015.125,12,True
1775307999.7674756,840.5,215.673,3408.983,12,True
1775307999.9002311,1706.019,182.303,3542.333,11,True
1775308000.714959,2177.407,196.269,4354.053,12,True
1775308001.7501774,416.276,194.295,2375.661,11,True
1775308001.9176533,516.133,196.637,2940.314,13,True
1775308001.919221,413.454,198.414,2658.29,12,True
1775308001.923941,447.969,201.184,2667.171,12,True
1775308001.9493332,402.612,196.081,2574.144,12,True
1775308002.017282,427.239,204.688,2760.941,12,True
1775308002.1186826,511.199,199.931,2965.751,13,True
1775308002.5466883,481.509,195.121,2646.308,12,True
1775308003.549682,604.337,197.39,2834.554,12,True
1775308004.1618595,471.888,215.513,2411.541,10,True
1775308004.2683747,2151.654,195.687,4500.686,13,True
1775308004.7086334,379.042,205.239,2759.107,12,True
1775308004.7189906,413.55,197.264,2600.186,12,True
1775308004.7196496,612.664,197.014,2801.85,12,True
1775308004.8749673,525.156,196.936,2950.908,13,True
1775308005.0781417,608.002,213.467,3158.677,12,True
1775308005.2829967,510.404,197.695,2736.185,12,True
1775308006.5049715,556.421,210.235,2955.083,12,True
1775308006.825777,408.191,203.442,2663.771,12,True
1775308007.114491,404.371,210.674,2395.314,10,True
1775308007.2161677,747.6,199.875,2947.575,12,True
1775308007.5292847,506.354,209.486,2820.504,12,True
1775308007.7476535,580.064,202.397,3027.9,13,True
1775308007.9729671,1021.684,429.662,5955.563,12,True
1775308008.3349388,418.245,241.09,3256.521,12,True
1775308008.4613621,1325.053,196.818,3586.267,12,True
1775308008.5554059,1018.683,196.407,3272.222,12,True
1775308009.3711736,749.751,201.366,2865.977,11,True
1775308009.8591723,510.301,194.498,2744.45,12,True
1775308009.9592595,432.635,205.652,2742.912,12,True
1775308010.47161,514.864,200.764,2723.83,12,True
1775308010.6689858,501.295,243.829,3139.554,11,True
1775308010.8961275,605.039,203.525,2923.006,12,True
1775308011.1772742,390.789,211.216,2715.711,12,True
1775308011.2778592,509.741,202.95,2942.783,12,True
1775308011.49183,816.97,191.82,2936.256,12,True
1775308011.9913666,490.007,193.555,2620.055,12,True
1775308012.600762,511.236,205.517,2641.346,11,True
1775308012.7231078,611.534,202.999,2863.787,12,True
1775308013.1506872,3354.309,229.398,6324.74,12,True
1775308013.4055076,510.807,195.51,2736.395,12,True
1775308013.6152217,519.841,199.679,2718.958,12,True
1775308013.8459203,407.061,195.147,2567.913,12,True
1775308013.9356313,504.387,213.275,2443.649,10,True
1775308014.1220918,934.602,200.883,2944.627,11,True
1775308014.5266845,425.283,203.963,2535.175,11,True
1775308015.2426434,412.029,209.833,2519.378,11,True
1775308015.2809167,424.746,202.755,2679.963,12,True
1775308015.886731,529.715,193.271,2481.065,11,True
1775308015.9435773,479.394,210.239,2792.69,12,True
1775308016.2822285,505.112,193.856,2666.858,12,True
1775308016.5722826,541.072,207.77,2636.467,11,True
1775308016.6842828,500.955,211.319,2838.199,12,True
1775308016.7773128,1029.516,385.487,6305.561,12,True
1775308016.8558168,440.386,203.231,2733.588,12,True
1775308016.9987447,408.19,204.156,2471.894,11,True
1775308018.3057666,609.96,201.989,3062.977,13,True
1775308018.597443,465.154,202.172,2710.562,12,True
1775308018.8251529,510.104,194.644,2881.43,13,True
1775308018.9889464,496.714,212.727,2706.543,11,True
1775308019.4936297,424.74,195.456,2637.608,12,True
1775308019.4942296,383.516,206.127,2495.358,11,True
1775308020.1186712,993.323,194.061,3341.214,13,True
1775308020.4354854,984.043,251.319,3751.066,12,True
1775308021.023693,406.712,210.09,2717.745,12,True
1775308021.3488412,395.398,212.917,2751.249,12,True
1775308021.3716836,538.125,413.725,4799.244,11,True
1775308021.8644352,543.281,203.885,2875.302,12,True
1775308021.972347,412.072,212.194,3147.047,13,True
1775308022.2852385,408.016,210.601,2791.47,12,True
1775308022.4980986,388.393,313.198,7217.037,13,True
1775308022.919247,394.638,208.541,2483.621,11,True
1775308023.0228703,507.648,211.825,2904.053,12,True
1775308023.5473142,445.942,202.939,2523.475,11,True
1775308023.880683,426.521,208.628,2531.698,11,True
1775308024.1126869,642.397,208.287,2740.802,11,True
1775308024.6990001,427.304,203.29,2834.42,12,True
1775308024.9514673,655.365,207.043,2978.985,12,True
1775308025.2200208,438.373,207.501,2721.686,12,True
1775308025.3279083,673.802,215.217,3042.43,12,True
1775308025.7400353,448.617,206.114,2716.98,12,True
1775308025.7566407,521.798,208.981,2837.242,12,True
1775308025.8429587,1053.118,488.029,6348.637,11,True
1775308026.5717497,441.739,216.136,2690.844,11,True
1775308026.5718749,837.703,198.416,3024.414,12,True
1775308026.9844434,586.385,212.155,2871.627,11,True
1775308027.4323032,462.2,204.102,2733.046,12,True
1775308027.6044087,476.471,210.947,2652.773,11,True
1775308028.327967,943.493,206.083,3107.796,11,True
1775308028.5351,434.196,200.709,2692.002,12,True
1775308028.636333,533.382,203.988,2879.539,12,True
1775308029.463531,1881.323,200.336,4135.473,12,True
1775308029.4911885,516.367,197.91,2919.236,13,True
1775308029.7090478,518.886,199.18,2724.451,12,True
1775308029.7698317,1454.345,224.569,4029.649,12,True
1775308029.8722556,464.993,238.797,3299.729,12,True
1775308030.2855256,441.791,203.263,2680.975,12,True
1775308030.530529,421.226,214.17,3098.077,12,True
1775308031.313858,533.337,203.652,2778.593,12,True
1775308031.3147757,658.292,211.593,2986.63,12,True
