timestamp,elapsed_s,rss_mb,cpu_percent
1775315549.576,0.0,301.66,0.0
1775315550.576,1.0,301.66,0.0
1775315551.576,2.001,301.66,0.0
1775315552.577,3.001,301.66,71.0
1775315553.578,4.002,301.66,23.0
1775315554.578,5.002,301.66,3.0
1775315555.578,6.003,301.66,40.0
1775315556.579,7.003,301.66,57.0
1775315557.579,8.003,301.66,2.0
1775315558.579,9.004,301.66,7.0
1775315559.58,10.004,301.66,98.9
1775315560.58,11.005,301.66,4.0
1775315561.581,12.005,301.66,4.0
1775315562.581,13.005,301.66,65.0
1775315563.581,14.006,301.66,37.0
1775315564.582,15.006,301.66,4.0
1775315566.081,16.505,301.66,30.0
1775315567.081,17.505,301.66,63.0
1775315568.081,18.506,301.66,4.0
1775315569.082,19.506,301.66,7.0
1775315570.082,20.507,292.48,95.0
1775315571.083,21.507,292.48,7.0
1775315572.083,22.507,292.48,4.0
1775315573.083,23.508,290.96,68.0
1775315574.084,24.508,290.96,25.0
1775315575.084,25.508,290.96,4.0
1775315576.084,26.509,290.96,44.0
1775315577.084,27.509,290.96,48.0
1775315578.085,28.509,290.96,3.0
1775315579.085,29.51,290.96,22.0
1775315580.086,30.51,290.96,73.0
1775315581.086,31.51,290.96,3.0
1775315582.086,32.511,290.96,5.0
1775315583.086,33.511,290.96,87.0
1775315584.087,34.511,290.96,5.0
1775315585.087,35.512,290.96,4.0
1775315586.088,36.512,290.96,71.0
1775315587.088,37.512,290.96,38.0
1775315588.088,38.513,290.96,9.0
1775315589.089,39.513,290.96,30.0
1775315590.09,40.514,290.96,61.0
1775315591.09,41.514,290.96,11.0
1775315592.09,42.515,290.96,4.0
1775315593.09,43.515,290.96,84.0
1775315594.091,44.515,290.96,2.0
1775315595.091,45.516,290.96,5.0
1775315596.092,46.516,290.96,82.0
1775315597.092,47.517,290.96,9.0
1775315598.093,48.517,290.96,5.0
1775315599.594,50.018,290.96,56.0
1775315600.594,51.019,290.96,34.0
1775315601.595,52.019,290.96,8.0
1775315602.595,53.02,290.96,33.0
1775315603.596,54.02,290.96,53.0
1775315604.598,55.022,290.96,8.0
1775315605.598,56.022,290.96,13.0
1775315606.599,57.023,290.96,78.0
1775315607.599,58.023,290.96,4.0
1775315608.6,59.024,290.96,2.0
1775315609.6,60.024,290.96,94.0
1775315610.6,61.025,290.96,4.0
1775315611.601,62.025,290.96,6.0
1775315612.601,63.026,288.85,62.0
1775315613.602,64.026,288.85,23.0
