timestamp,completed,e2e_pipeline_ms,stage1_ms,stage2_ms,stage3_ms,stage4_ms
1775253488.856881,True,2898.347,0.001,50.258,2848.054,0.001
1775253492.4420645,True,3584.998,0.0,50.195,3534.775,0.001
1775253495.4640052,True,3020.516,0.0,50.614,2969.867,0.002
1775253498.3643923,True,2900.248,0.001,50.628,2849.588,0.001
1775253501.0290022,True,2663.828,0.0,50.244,2613.555,0.001
1775253504.029452,True,2999.506,0.0,50.443,2949.035,0.002
1775253506.9164114,True,2885.999,0.001,50.319,2835.65,0.002
1775253509.8563795,True,2939.128,0.0,50.474,2888.623,0.002
1775253512.7138164,True,2856.446,0.0,51.486,2804.931,0.001
1775253515.5184145,True,2803.898,0.0,51.091,2752.775,0.002
1775253518.707427,True,3187.998,0.0,50.92,3137.047,0.002
1775253521.2810605,True,2572.747,0.0,50.752,2521.964,0.002
1775253524.042668,True,2760.774,0.0,50.263,2710.48,0.002
1775253529.8002396,True,5756.591,0.0,50.316,5706.244,0.002
1775253532.9093552,True,3108.088,0.0,50.137,3057.92,0.002
1775253535.7015188,True,2791.222,0.0,50.464,2740.728,0.002
1775253538.3147383,True,2612.512,0.0,50.229,2562.248,0.002
1775253541.0426636,True,2727.063,0.001,50.239,2676.795,0.002
1775253543.7302852,True,2686.733,0.0,50.268,2636.437,0.002
