Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/inference,425,0,3400,3400.525388077635,3282.604868000817,3475.865282000086,785.0,7.344915305825924,0.0,3400,3400,3400,3400,3500,3500,3500,3500,3500,3500,3500
,Aggregated,425,0,3400,3400.525388077635,3282.604868000817,3475.865282000086,785.0,7.344915305825924,0.0,3400,3400,3400,3400,3500,3500,3500,3500,3500,3500,3500
